"o","nieuweURI"
"http://data.kbodata.be/organisation/2_050_718_471#id","https://data.vlaanderen.be/id/vestiging/2050718471"
"http://data.kbodata.be/organisation/2_174_482_751#id","https://data.vlaanderen.be/id/vestiging/2174482751"
"http://data.kbodata.be/organisation/2_174_440_585#id","https://data.vlaanderen.be/id/vestiging/2174440585"
"http://data.kbodata.be/organisation/2_235_496_345#id","https://data.vlaanderen.be/id/vestiging/2235496345"
"http://data.kbodata.be/organisation/2_235_490_506#id","https://data.vlaanderen.be/id/vestiging/2235490506"
"http://data.kbodata.be/organisation/2_085_053_996#id","https://data.vlaanderen.be/id/vestiging/2085053996"
"http://data.kbodata.be/organisation/2_027_615_546#id","https://data.vlaanderen.be/id/vestiging/2027615546"
"http://data.kbodata.be/organisation/2_039_655_919#id","https://data.vlaanderen.be/id/vestiging/2039655919"
"http://data.kbodata.be/organisation/2_012_500_966#id","https://data.vlaanderen.be/id/vestiging/2012500966"
"http://data.kbodata.be/organisation/2_195_624_494#id","https://data.vlaanderen.be/id/vestiging/2195624494"
"http://data.kbodata.be/organisation/2_032_208_891#id","https://data.vlaanderen.be/id/vestiging/2032208891"
"http://data.kbodata.be/organisation/2_168_551_893#id","https://data.vlaanderen.be/id/vestiging/2168551893"
"http://data.kbodata.be/organisation/2_255_257_918#id","https://data.vlaanderen.be/id/vestiging/2255257918"
"http://data.kbodata.be/organisation/2_154_882_516#id","https://data.vlaanderen.be/id/vestiging/2154882516"
"http://data.kbodata.be/organisation/2_042_842_962#id","https://data.vlaanderen.be/id/vestiging/2042842962"
"http://data.kbodata.be/organisation/2_218_866_981#id","https://data.vlaanderen.be/id/vestiging/2218866981"
